order_id,order_date,customer_id,customer_region,product_id,product_name,category,unit_price,quantity,total_amount,payment_method,customer_rating
1001,2024-04-19,540,North,3001,Men's T-Shirt,Clothing,19.99,3,59.97,Cash on Delivery,1
1002,2024-09-23,523,West,4005,Floor Rug,Home Goods,120.00,4,480.00,Apple Pay,4
1003,2025-06-13,500,,4001,Ceramic Vase,Home Goods,25.00,4,100.00,Credit Card,5
1004,2025-05-03,520,South,3002,Women's Jeans,Clothing,49.99,3,149.97,Credit Card,
1005,2024-07-23,582,East,4004,Throw Pillow,Home Goods,18.99,3,56.97,PayPal,4
1006,2024-07-27,583,North,3003,Jacket Unisex,Clothing,59.99,3,179.97,Credit Card,4
1007,2024-11-28,519,North,4001,Ceramic Vase,Home Goods,25.00,1,25.00,PayPal,5
1008,2025-03-08,592,North,3005,Baseball Cap,Clothing,14.99,1,14.99,,5
1009,2024-12-04,538,North,3002,Women's Jeans,Clothing,49.99,2,99.98,Apple Pay,5
1010,2024-02-01,526,North,4002,Table Lamp,Home Goods,35.50,1,35.50,Cash on Delivery,5
1011,2024-05-22,527,East,3003,Jacket Unisex,Clothing,59.99,3,179.97,Credit Card,
1012,2024-12-18,524,East,3003,Jacket Unisex,Clothing,59.99,4,239.96,PayPal,5
1013,2025-04-18,520,,4003,Coffee Maker,Home Goods,49.99,4,199.96,Cash on Delivery,3
1014,2024-01-26,586,East,3002,Women's Jeans,Clothing,49.99,2,99.98,Apple Pay,2
1015,2024-07-04,525,West,2005,Smartwatch C,Electronics,199.99,3,599.97,,5
1016,2025-02-20,575,North,4004,Throw Pillow,Home Goods,18.99,2,37.98,Apple Pay,4
1017,2024-03-02,524,South,4002,Table Lamp,Home Goods,35.50,4,142.00,Credit Card,3
1018,2025-05-24,563,North,4001,Ceramic Vase,Home Goods,25.00,3,75.00,PayPal,1
1019,2024-08-09,521,North,3004,Sneakers D,Clothing,79.99,3,239.97,Apple Pay,5
1020,2024-02-19,516,East,3003,Jacket Unisex,Clothing,59.99,2,119.98,PayPal,4
1999,2024-07-19,590,,4002,Table Lamp,Home Goods,35.50,3,106.50,,1
2000,2024-10-09,518,North,2004,Bluetooth Speaker,Electronics,59.99,1,59.99,Credit Card,1
